GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,CastFcts.CassandraFunctionWrapper,16,42,6,6,1,7,7,3,1,3
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,NativeFunction,2,8,0,0,1,2,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.16.new AggregateFcts.FloatSumAggregate() {...},13,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,JavaUDF,159,0,44,0,22,0,33,0,11,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDFByteCodeVerifier.ConstructorVisitor,59,0,10,0,14,0,9,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,CastFcts.CastAsTextFunction,18,11,2,0,4,3,2,2,1,2
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.17.new AggregateFcts.FloatAvgAggregate() {...},13,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.AvgAggregate,113,0,10,0,26,0,9,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.3.new AggregateFunction.Aggregate() {...},56,0,2,0,13,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,ScriptBasedUDFunction.UDFContextWrapper,58,0,5,0,12,0,6,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.4.new AggregateFunction.Aggregate() {...},41,0,2,0,11,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,CastFcts.CastFunction,27,12,0,0,3,2,3,1,3,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.22.new AggregateFunction.Aggregate() {...},36,0,6,0,10,0,7,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,FunctionResolver,306,48,42,1,59,6,25,3,3,3
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,JavaBasedUDFunction,1020,0,69,0,194,0,49,0,11,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDFContextImpl,220,0,12,0,40,0,22,0,16,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.10.new AggregateFunction.Aggregate() {...},45,0,2,0,10,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.23.new AggregateFunction.Aggregate() {...},36,0,6,0,10,0,7,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},3,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},14,6,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},22,6,4,0,5,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},17,6,2,0,5,1,2,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.FloatSumAggregate,77,0,6,0,21,0,7,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},17,6,2,0,5,1,2,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},25,6,4,0,8,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},23,6,4,0,7,1,3,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},17,6,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,TimeFcts.new NativeScalarFunction() {...},17,6,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.9.new AggregateFcts.AvgAggregate() {...},15,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},6,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},6,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.new NativeAggregateFunction() {...},7,6,0,0,2,1,2,1,2,1
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDFExecutorService,20,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UuidFcts,3,12,0,0,1,2,1,2,1,2
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.19.new AggregateFcts.AvgAggregate() {...},13,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,ScriptBasedUDFunction,594,0,58,0,90,0,37,0,8,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.1.new AggregateFunction.Aggregate() {...},23,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDAggregate,317,0,40,0,50,0,36,0,16,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,ToJsonFct,107,0,12,0,18,0,10,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,ScriptBasedUDFunction.new URLStreamHandler() {...},5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.LongSumAggregate,31,0,2,0,9,0,4,0,3,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDFunction.UDFClassLoader,63,0,6,0,12,0,9,0,6,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.FloatAvgAggregate,157,0,16,0,38,0,12,0,4,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,UDFunction.new UDFunction() {...},39,0,0,0,6,0,5,0,5,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.11.new AggregateFcts.AvgAggregate() {...},14,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.cql3.functions,AggregateFcts.24.new AggregateFunction.Aggregate() {...},34,0,2,0,9,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,ReducingKeyIterator.new MergeIterator.Reducer() {...},18,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableRewriter,224,379,40,44,50,84,42,22,11,11
JaCoCo Ant Example,org.apache.cassandra.io.sstable,CorruptSSTableException,23,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableIdentityIterator,146,95,6,0,34,21,8,11,5,11
JaCoCo Ant Example,org.apache.cassandra.io.sstable,Descriptor,324,333,43,27,43,68,48,15,15,13
JaCoCo Ant Example,org.apache.cassandra.io.sstable,CQLSSTableWriter,305,0,18,0,60,0,22,0,13,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableMultiWriter,5,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SimpleSSTableMultiWriter,34,66,1,1,7,16,6,9,5,9
JaCoCo Ant Example,org.apache.cassandra.io.sstable,AbstractSSTableSimpleWriter,133,0,6,0,29,0,11,0,8,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,Downsampling,44,233,10,22,6,43,9,13,1,5
JaCoCo Ant Example,org.apache.cassandra.io.sstable,CQLSSTableWriter.Builder,337,0,32,0,78,0,29,0,13,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableHeaderFix.AutomaticHeaderFix,118,0,22,0,25,0,14,0,3,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleIterator.CurrentFormatIterator,15,38,1,3,2,7,1,4,0,3
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableHeaderFix,1525,21,178,2,314,7,125,2,35,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleIterator,31,25,3,1,4,7,3,2,1,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleUnsortedWriter.Buffer,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleUnsortedWriter.new PartitionUpdate() {...},21,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,Component.Type,35,162,10,0,7,17,6,3,1,3
JaCoCo Ant Example,org.apache.cassandra.io.sstable,BloomFilterTracker,39,26,0,0,10,7,5,2,5,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleUnsortedWriter.SyncException,4,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleUnsortedWriter,217,0,18,0,54,0,19,0,10,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTable,220,298,35,31,44,57,32,21,8,12
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleIterator.OldFormatTombstoneIterator,47,0,8,0,13,0,7,0,3,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryRedistribution,955,0,54,0,153,0,34,0,7,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,KeyIterator,72,0,2,0,18,0,7,0,6,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SnapshotDeletingTask,43,16,1,1,15,4,5,2,4,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummary.IndexSummarySerializer,194,65,12,4,37,15,9,3,2,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryManager.new WrappedRunnable() {...},4,6,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.apache.cassandra.io.sstable,Component,125,152,27,14,25,32,27,9,2,7
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryRedistribution.ResampleEntry,12,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleIterator.CurrentFormatTombstoneIterator,59,0,6,0,12,0,6,0,3,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleWriter,107,0,22,0,24,0,17,0,6,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,KeyIterator.In,45,0,4,0,17,0,9,0,7,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableRewriter.InvalidateKeys,0,60,2,6,0,13,2,4,0,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableLoader.Client,43,0,2,0,12,0,7,0,6,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableTxnWriter,166,0,0,0,35,0,14,0,14,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableHeaderFix.ManualHeaderFix,14,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableLoader,489,0,42,0,97,0,34,0,13,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryRedistribution.ReadRateComparator,38,0,8,0,12,0,6,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleIterator.OldFormatIterator,130,0,24,0,27,0,16,0,4,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexInfo.Serializer,151,57,21,5,31,13,16,3,3,3
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryBuilder,392,304,44,14,59,62,34,14,6,13
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableHeaderFix.Builder,146,0,4,0,27,0,19,0,17,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummary,144,180,8,12,30,36,21,12,13,10
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryRedistribution.new Comparator() {...},19,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,AbstractSSTableSimpleWriter.new FilenameFilter() {...},38,0,6,0,8,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,SSTableSimpleUnsortedWriter.DiskWriter,59,0,6,0,14,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryManager,299,80,26,2,60,23,25,4,11,4
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexInfo,19,29,2,0,4,8,2,2,1,2
JaCoCo Ant Example,org.apache.cassandra.io.sstable,IndexSummaryBuilder.ReadableBoundary,18,0,0,0,7,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.io.sstable,ReducingKeyIterator,120,0,10,0,28,0,13,0,8,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,NonTokenizingOptions.OptionsBuilder,56,0,4,0,18,0,7,0,5,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardTokenizerOptions.OptionsBuilder,114,0,8,0,36,0,14,0,10,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,NoOpAnalyzer,33,0,2,0,13,0,6,0,5,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,DelimiterTokenizingOptions,68,0,6,0,14,0,6,0,3,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,NonTokenizingAnalyzer,178,0,18,0,39,0,17,0,8,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,NonTokenizingAnalyzer.new HashSet() {...},11,0,0,0,4,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardAnalyzer.new HashSet() {...},11,0,0,0,4,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,DelimiterAnalyzer.new AbstractIterator() {...},81,0,14,0,11,0,9,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,DelimiterAnalyzer.new HashMap() {...},13,0,0,0,4,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,DelimiterTokenizingOptions.OptionsBuilder,13,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardAnalyzer.TokenType,134,0,2,0,18,0,5,0,4,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,DelimiterAnalyzer,69,0,2,0,17,0,9,0,8,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,NonTokenizingOptions,111,0,12,0,31,0,16,0,9,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardAnalyzer,239,0,26,0,61,0,27,0,14,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardTokenizerOptions,153,0,8,0,48,0,25,0,19,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,AbstractAnalyzer,25,0,2,0,7,0,6,0,5,0
JaCoCo Ant Example,org.apache.cassandra.index.sasi.analyzer,StandardTokenizerImpl,791,0,75,0,212,0,71,0,26,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetInterDCStreamThroughput,12,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,InvalidateRowCache,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,RemoveNode,46,0,3,0,10,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StatusBinary,12,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetCompactionThroughput,12,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Status,620,0,46,0,99,0,29,0,6,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,UpgradeSSTable,58,0,4,0,13,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetTimeout,53,0,2,0,8,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetHostStat,40,0,0,0,10,0,4,0,4,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableThrift,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetCompactionThreshold,60,0,2,0,10,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableAutoCompaction,43,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Scrub,76,0,4,0,18,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Ring,423,0,28,0,73,0,17,0,3,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Snapshot,199,0,14,0,35,0,9,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableBinary,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DescribeCluster,105,0,6,0,17,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetLoggingLevels,47,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Stop,24,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Refresh,31,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableHintsForDC,26,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,RelocateSSTables,48,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GcStats,116,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Info,681,0,16,0,86,0,11,0,3,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StatusGossip,12,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ViewBuildStatus,164,0,12,0,30,0,8,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DescribeRing,52,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,PauseHandoff,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,FailureDetectorInfo,60,0,2,0,8,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableBackup,7,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetStreamThroughput,12,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GarbageCollect,54,0,2,0,13,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetTimeout,44,0,2,0,10,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetCacheCapacity,39,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetSSTables,62,0,4,0,12,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Ring.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TpStats,39,0,6,0,8,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ResumeHandoff,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableGossip,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableAutoCompaction,43,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ReloadTriggers,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Repair,249,0,26,0,47,0,16,0,3,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Assassinate,18,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TopPartitions,304,0,16,0,42,0,10,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,NetStats,636,0,40,0,68,0,22,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TableHistograms,448,0,26,0,57,0,15,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetConcurrentCompactors,15,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetTraceProbability,29,0,4,0,5,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Cleanup,54,0,4,0,14,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,CfHistograms,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetInterDCStreamThroughput,17,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Compact,123,0,20,0,29,0,12,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableHandoff,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Join,30,0,4,0,8,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ProxyHistograms,206,0,2,0,21,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetCompactionThreshold,74,0,12,0,10,0,8,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Move,19,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Flush,43,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,BootstrapResume,14,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StatusThrift,12,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ListSnapshots,105,0,6,0,23,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Drain,14,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StatusHandoff,41,0,4,0,6,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TableStats,56,0,6,0,11,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetCompactionThroughput,17,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GossipInfo,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,InvalidateKeyCache,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetStreamThroughput,17,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetLoggingLevel,39,0,4,0,6,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TruncateHints,18,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,TopPartitions.new Ordering() {...},18,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StopDaemon,11,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Version,15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,InvalidateCounterCache,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,CompactionStats,376,0,26,0,49,0,16,0,3,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,HostStat,26,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,CfStats,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetConcurrentCompactors,21,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetTraceProbability,15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,RebuildIndex,41,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,RangeKeySample,31,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableHandoff,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ReloadLocalSchema,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,RefreshSizeEstimates,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ResetLocalSchema,13,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableThrift,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,CompactionHistory,39,0,6,0,8,0,5,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableHintsForDC,26,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,StatusBackup,12,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetCacheKeysToSave,39,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ReplayBatchlog,13,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Rebuild,37,0,4,0,9,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableGossip,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,DisableBinary,6,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Verify,49,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,ClearSnapshot,74,0,4,0,16,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,SetHintedHandoffThrottleInKB,12,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,EnableBackup,7,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,Decommission,29,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,org.apache.cassandra.tools.nodetool,GetEndpoints,58,0,4,0,11,0,4,0,2,0
JaCoCo Ant Example,org.apache.cassandra.locator,DynamicEndpointSnitch.new Runnable() {...},4,6,0,0,2,1,1,1,1,1
